CowO10	CowO11	CowO12	CowO13	CowO14	CowO15	CowO21	CowO2	CowO3	CowO6	CowO7	CowO8
2510039O18Rik	5.16505217220198	5.14226046071946	5.19402902396083	5.17126159000532	5.12797483256861	5.02223187182662	5.13644193791908	5.15273727891456	5.02833087258728	5.09991872481661	5.20640272423862	4.93541097881712
2610001J05Rik	1.94650073407204	0.977657216131134	1.61133286916757	1.78414622065757	1.80573256573494	1.1034363571475	1.78693720004659	0.902213284587512	1.47787932470668	1.82300678124867	1.45417036888285	1.76622566138193
2610002M06Rik	4.69398380725409	4.64169303177182	4.69214872774672	4.709009548448	4.7604117194343	4.71385418634686	4.34458103327767	4.91790871681182	4.56182430741882	4.74651304648108	4.24610324932943	4.50495146180694
2610008E11Rik	3.23085337660257	2.96906324586194	3.09064001973726	3.18163927799014	3.26473700432952	3.27578334838998	3.00980113549697	3.083872885635	3.23705164865622	3.12715364358356	3.04488971238125	2.71777689905711
2610021A01Rik	2.63546384952587	2.7926748984043	2.41198910864969	2.87500131008297	2.51890578605952	2.67738341091851	3.08918115478537	2.98495538860661	2.39669736814441	3.16547379320656	2.9778559197706	2.86332410217686
2610301B20Rik	4.2596146398584	4.25348655490282	4.08229649098668	4.08026320903015	4.53371521354438	4.25269427875747	4.23314911804436	4.3873674141016	4.55856840297933	4.4964196286014	4.08337755505457	4.22810015400309
2610507B11Rik	8.98961518428526	9.10897759752824	9.16457905892601	8.98774797359758	9.15500273666782	9.09767238653154	8.99480986429989	9.0833467686209	9.19692821373333	9.06813563060789	9.05558656833082	9.08849269503179
2700049A03Rik	1.83068310030649	2.40790199952917	1.47625177458792	1.8929615784056	1.78688627647863	2.16736268440603	1.9922544268436	1.33974820189682	2.50344666079378	1.59107564776365	1.76620274174416	2.23501526197296
2700081O15Rik	5.62882169434304	5.79636410864043	5.77613452782708	5.90653445792843	5.52803072319051	5.76354743090178	5.72486146387518	5.56621788303949	5.75265342915276	5.75786705988083	5.79770614520703	5.59916528493938
2700097O09Rik	1.29014977378861	1.10685564715761	1.10576069172916	0.823387182370144	1.16091935753439	1.15724578790011	1.13628405537699	1.07986505304575	1.32200686040881	1.069769566322	1.09985481305566	1.29633074394083
2810459M11Rik	1.50459028112999	1.00593520626314	1.06042800424247	1.16077608891487	1.15647504429909	0.982889123079337	1.18504361735506	1.07293975834336	1.13326966389943	0.95730868992424	1.0710318053616	0.896774650661163
2900026A02Rik	3.42758447704187	2.91838231027901	3.23958893667195	3.14946891365782	3.08711926549561	3.67604927340824	2.80021755741889	3.06030778986042	3.16662154791318	3.20466157028379	2.74705465634772	3.18129498308279
3110040N11Rik	1.26350554663506	1.27485533470478	1.17909623479403	1.70055772792366	1.25016759184769	1.33790700911848	1.12246857705018	1.09306749073797	1.64775276009524	1.09550631140275	0.821146494639247	1.29879518234454
4430402I18Rik	1.84434416849696	1.8997605452801	1.99308090301382	1.54794818636651	1.49750967147316	1.22282674006243	1.33207583541948	1.67144682419303	1.60125196262495	1.56915825143251	1.50812409416359	0.942367124768832
