egfp_coca_hdac5_coca	egfp_coca_egfp_saline	egfp_coca_hdac5_saline	hdac5_coca_egfp_saline	hdac5_coca_hdac5_saline	egfp_saline_hdac5_saline
1700037H04Rik	0.492401652942063	0.102975127252603	0.956560209589484	0.635719921402309	0.766971894994211	0.205724169326936
1700066M21Rik	0.854055440840986	0.7689661257647	0.289557293320678	0.997950567692502	0.682105222224942	0.776590156110521
1700123O20Rik	0.999582995612041	0.994544783364984	0.795123034477076	0.984819458854769	0.741639577573079	0.902771611523041
1810010H24Rik	0.996438791295199	0.971572164090546	0.885792929753878	0.915882090890954	0.954056277972911	0.670505337434574
1810013L24Rik	0.999727185062571	0.975032715368214	0.999688182269898	0.95686360313986	0.997694377917008	0.988016206885316
1810030O07Rik	0.105979783462857	0.955028665527913	0.182087295707616	0.0517964674015557	0.978447056667167	0.089862762392807
1810049J17Rik	0.96003209789623	0.738581937946588	0.672517774937198	0.47253227002452	0.413332451772002	0.999329107861806
1810058I24Rik	0.219503516271944	0.252687375681111	0.3946206423364	0.999524744382441	0.964436766502939	0.982988603445315
2010300C02Rik	0.998129523222485	0.745200077991703	0.962508571835861	0.831083345118429	0.989315975057096	0.946391367189604
2210408I21Rik	0.966015845524952	0.968695051524376	0.998654187929024	0.999999086572981	0.926017476168952	0.930207580041587
2300009A05Rik	0.99274634402837	0.99732266007921	0.998249246028324	0.965979370641174	0.97101331391349	0.999993530734705
2310022A10Rik	0.99941347539237	0.999969257439115	0.976042602863142	0.99985518847493	0.951964979638809	0.968192269677971
2310022B05Rik	0.835067514600441	0.920992599618832	0.99999402598977	0.996305016743247	0.846495093827095	0.929004650694442
2310033P09Rik	0.997951004969476	0.617084539339205	0.999808469305	0.714398064351046	0.999659016868964	0.661278068980667
2310061I04Rik	0.361623316388735	0.706627231347937	0.822327572613503	0.908626099569066	0.813750965124667	0.995839940849414
2410002F23Rik	0.884888126660437	0.98270722922531	0.995795037263687	0.982535326857241	0.956463829181321	0.998961536327539
2410004B18Rik	0.963716647057401	0.298084128546195	0.58971208126364	0.513803369838583	0.840422928219393	0.926474541450752
2410131K14Rik	0.993069818224729	0.999973570038042	0.83745816116208	0.989461713074231	0.701099432856114	0.855931672455681
2510009E07Rik	0.62266727232665	0.676398426022738	0.961589843564156	0.158955367008036	0.375569015312946	0.90831574948292
2510039O18Rik	0.810451988177528	0.504676626254311	0.887398163408502	0.940288710192529	0.998033054815632	0.880339236652602
2610001J05Rik	0.993476445264435	0.759132925623635	0.89006276364127	0.881750950128179	0.770103817868275	0.382636437575921
2610002M06Rik	0.0587218953212648	0.999869788025559	0.988001721364057	0.0647603934532915	0.0920537190556476	0.994142362058365
