nodeName	altName	nodeAttr[nodesPresent, ]
Ltn1	NA	yellow
Magee1	NA	yellow
Magel2	NA	yellow
Maml1	NA	yellow
Man1a	NA	yellow
Map4k5	NA	yellow
Mapk1	NA	yellow
Marchf1	NA	yellow
Marchf6	NA	yellow
Mbnl1	NA	yellow
Mbnl2	NA	yellow
Mbtps2	NA	yellow
Mdga2	NA	yellow
Me2	NA	yellow
Mettl17	NA	yellow
Mfn2	NA	yellow
Mfsd6	NA	yellow
Micu3	NA	yellow
Mios	NA	yellow
Mnat1	NA	yellow
Mob4	NA	yellow
Mon2	NA	yellow
Mosmo	NA	yellow
Mphosph10	NA	yellow
Msl3l2	NA	yellow
Mtf1	NA	yellow
Mtfr1	NA	yellow
Mycn	NA	yellow
Myo1e	NA	yellow
Myt1	NA	yellow
Myt1l	NA	yellow
Naa15	NA	yellow
Naf1	NA	yellow
Nalcn	NA	yellow
Nasp	NA	yellow
Ncam2	NA	yellow
Nedd4	NA	yellow
Nipa1	NA	yellow
Nipbl	NA	yellow
Nkain2	NA	yellow
Nkrf	NA	yellow
Nol10	NA	yellow
Nol11	NA	yellow
Nrd1	NA	yellow
Nsf	NA	yellow
Nxph1	NA	yellow
Ocln	NA	yellow
Odr4	NA	yellow
Ogdh	NA	yellow
Optn	NA	yellow
Oxr1	NA	yellow
Pafah1b1	NA	yellow
Pak3	NA	yellow
Pak7	NA	yellow
Pam	NA	yellow
Parg	NA	yellow
Pbrm1	NA	yellow
Pcdh10	NA	yellow
Pcm1	NA	yellow
Pcmtd2	NA	yellow
Pcnx4	NA	yellow
Pde1a	NA	yellow
Pde8a	NA	yellow
Pdk4	NA	yellow
Pdpr	NA	yellow
Peg3	NA	yellow
Peli1	NA	yellow
Phf14	NA	yellow
Phka1	NA	yellow
Pias2	NA	yellow
Pik3c2a	NA	yellow
Pik3r1	NA	yellow
Pkm	NA	yellow
Plcxd3	NA	yellow
Pnmal2	NA	yellow
Polr2a	NA	yellow
Polr3a	NA	yellow
Pphln1	NA	yellow
Ppil4	NA	yellow
Ppm1d	NA	yellow
Ppp2r3a	NA	yellow
Ppp2r5e	NA	yellow
Ppp3cb	NA	yellow
Ppp3r1	NA	yellow
Prps2	NA	yellow
Prune2	NA	yellow
Psmd11	NA	yellow
Psme4	NA	yellow
Ptpn11	NA	yellow
Ptpn2	NA	yellow
Ptprd	NA	yellow
Ptprr	NA	yellow
Ptrh2	NA	yellow
Pura	NA	yellow
Pxmp4	NA	yellow
Rab3a	NA	yellow
Rab3gap1	NA	yellow
Rab6a	NA	yellow
Rabgap1	NA	yellow
Ranbp2	NA	yellow
Rap1gds1	NA	yellow
Rasa1	NA	yellow
Rasgrp1	NA	yellow
Rb1cc1	NA	yellow
Rbm22	NA	yellow
Rbm25	NA	yellow
Rbm41	NA	yellow
Rbmx	NA	yellow
Rbpj	NA	yellow
Rcbtb1	NA	yellow
Relch	NA	yellow
Resf1	NA	yellow
Rfc1	NA	yellow
Rgs17	NA	yellow
Rgs22	NA	yellow
Rgs9	NA	yellow
Rictor	NA	yellow
Riok3	NA	yellow
Rlim	NA	yellow
Rnf216	NA	yellow
Rnf219	NA	yellow
Rnmt	NA	yellow
Rpgrip1l	NA	yellow
Rprd1a	NA	yellow
Rsbn1	NA	yellow
Rsf1	NA	yellow
Rsl1d1	NA	yellow
Rtn3	NA	yellow
Rundc3b	NA	yellow
Samd8	NA	yellow
Sar1a	NA	yellow
Scamp1	NA	yellow
Scaper	NA	yellow
Scfd1	NA	yellow
Scn9a	NA	yellow
Scrn1	NA	yellow
Sdk1	NA	yellow
Sec23a	NA	yellow
Sema3b	NA	yellow
Sema4d	NA	yellow
Senp8	NA	yellow
Serpini1	NA	yellow
Setd5	NA	yellow
Sgsm1	NA	yellow
Shroom2	NA	yellow
Shtn1	NA	yellow
Sin3b	NA	yellow
Slc10a7	NA	yellow
Slc22a3	NA	yellow
Slc30a7	NA	yellow
Slc35e3	NA	yellow
Slc35f1	NA	yellow
Slc8a1	NA	yellow
Slit2	NA	yellow
Slitrk1	NA	yellow
Slitrk3	NA	yellow
Smap2	NA	yellow
Smarca1	NA	yellow
Smc1a	NA	yellow
Snu13	NA	yellow
Snw1	NA	yellow
Snx13	NA	yellow
Snx14	NA	yellow
Snx16	NA	yellow
Snx6	NA	yellow
Socs6	NA	yellow
Sorcs3	NA	yellow
Sos1	NA	yellow
Sp1	NA	yellow
Spast	NA	yellow
Specc1	NA	yellow
Sptlc1	NA	yellow
Srbd1	NA	yellow
