nodeName	altName	nodeAttr[nodesPresent, ]
Mex3c	NA	blue
Mfap4	NA	blue
Mgat2	NA	blue
Mgat4c	NA	blue
Mia2	NA	blue
Micu2	NA	blue
Mid2	NA	blue
Mlx	NA	blue
Mmadhc	NA	blue
Mobp	NA	blue
Mog	NA	blue
Morf4l2	NA	blue
Mphosph6	NA	blue
Mrm3	NA	blue
Msantd1	NA	blue
Msx2	NA	blue
Mtch2	NA	blue
Mtdh	NA	blue
Mtf2	NA	blue
Mthfsd	NA	blue
Mtx2	NA	blue
Mvd	NA	blue
Mybl1	NA	blue
Myef2	NA	blue
Myo1d	NA	blue
Myrf	NA	blue
Nae1	NA	blue
Nap1l2	NA	blue
Nap1l3	NA	blue
Nap1l4	NA	blue
Nap1l5	NA	blue
Nbn	NA	blue
Nckap1	NA	blue
Ncl	NA	blue
Ndfip1	NA	blue
Ndrg1	NA	blue
Ndufs1	NA	blue
Nfx1	NA	blue
Ngly1	NA	blue
Nkd1	NA	blue
Nkx6-2	NA	blue
Nmral1	NA	blue
Nnat	NA	blue
Nol8	NA	blue
Nono	NA	blue
Npc1	NA	blue
Npepps	NA	blue
Nphp1	NA	blue
Npm1	NA	blue
Npr1	NA	blue
Nptn	NA	blue
Nptx1	NA	blue
Nsfl1c	NA	blue
Nt5e	NA	blue
Nufip2	NA	blue
Nxpe4	NA	blue
Nxph4	NA	blue
Ociad2	NA	blue
Olig1	NA	blue
Olig2	NA	blue
Omg	NA	blue
Osbp	NA	blue
Osgin2	NA	blue
Otud7b	NA	blue
Pa2g4	NA	blue
Pacrg	NA	blue
Pacs2	NA	blue
Pacsin3	NA	blue
Paf1	NA	blue
Pafah1b2	NA	blue
Paip2	NA	blue
Palld	NA	blue
Papola	NA	blue
Paxbp1	NA	blue
Pcbp1	NA	blue
Pcbp2	NA	blue
Pcf11	NA	blue
Pcna	NA	blue
Pde7a	NA	blue
Pdia3	NA	blue
Pdia6	NA	blue
Pea15a	NA	blue
Pex16	NA	blue
Pfn2	NA	blue
Pggt1b	NA	blue
Phf12	NA	blue
Phf6	NA	blue
Phldb1	NA	blue
Picalm	NA	blue
Piga	NA	blue
Pik3r3	NA	blue
Pim2	NA	blue
Pim3	NA	blue
Pitrm1	NA	blue
Pja1	NA	blue
Pkn2	NA	blue
Pkp4	NA	blue
Plcl1	NA	blue
Plekha1	NA	blue
Plekhb1	NA	blue
Plekhg3	NA	blue
Plekhh1	NA	blue
Pllp	NA	blue
Plod1	NA	blue
Plp1	NA	blue
Plrg1	NA	blue
Plxnb3	NA	blue
Pmp22	NA	blue
Pnn	NA	blue
Pnoc	NA	blue
Podxl	NA	blue
Polr2b	NA	blue
Polr2g	NA	blue
Ppfibp2	NA	blue
Ppp1cb	NA	blue
Ppp1cc	NA	blue
Ppp2ca	NA	blue
Ppp2r1a	NA	blue
Ppp2r2a	NA	blue
Ppp4r3a	NA	blue
Ppp4r3b	NA	blue
Ppp6c	NA	blue
Praf2	NA	blue
Prc1	NA	blue
Prdx1	NA	blue
Prkar1a	NA	blue
Prkdc	NA	blue
Prkg1	NA	blue
Prox1	NA	blue
Prpf19	NA	blue
Prpf40a	NA	blue
Prpf4b	NA	blue
Prpsap1	NA	blue
Prpsap2	NA	blue
Prr18	NA	blue
Prr5l	NA	blue
Psip1	NA	blue
Psma1	NA	blue
Psma4	NA	blue
Psma5	NA	blue
Psma6	NA	blue
Psmb1	NA	blue
Psmb10	NA	blue
Psmb4	NA	blue
Psmc6	NA	blue
Psmd1	NA	blue
