nodeName	altName	nodeAttr[nodesPresent, ]
Sh3pxd2b	NA	green
Shank1	NA	green
Shank2	NA	green
Shank3	NA	green
Shc3	NA	green
Shroom4	NA	green
Sipa1l1	NA	green
Slc1a2	NA	green
Slc25a44	NA	green
Slc30a10	NA	green
Slc39a3	NA	green
Slc41a3	NA	green
Slc45a4	NA	green
Slc4a3	NA	green
Slc7a1	NA	green
Slc7a5	NA	green
Smg5	NA	green
Snap25	NA	green
Sorcs2	NA	green
Sox18	NA	green
Spata2l	NA	green
Spsb3	NA	green
Sptb	NA	green
Sptbn2	NA	green
Src	NA	green
Srcin1	NA	green
Ssh1	NA	green
St3gal2	NA	green
Stard8	NA	green
Steap2	NA	green
Stim1	NA	green
Strada	NA	green
Sugp2	NA	green
Sumf2	NA	green
Surf6	NA	green
Susd4	NA	green
Syngap1	NA	green
Syt12	NA	green
Syt7	NA	green
Tacc1	NA	green
Taf6l	NA	green
Tbc1d10a	NA	green
Tbrg4	NA	green
Tet3	NA	green
Tgfb1i1	NA	green
Thpo	NA	green
Tlcd5	NA	green
Tmem14a	NA	green
Tmem229b	NA	green
Tmem8b	NA	green
Tnip1	NA	green
Tnks1bp1	NA	green
Tnn	NA	green
Tnnt1	NA	green
Tns1	NA	green
Tox2	NA	green
Tpm2	NA	green
Trak1	NA	green
Trappc9	NA	green
Trim46	NA	green
Trim7	NA	green
Trpv1	NA	green
Tspan17	NA	green
Tspoap1	NA	green
Tsta3	NA	green
Ttbk1	NA	green
Ttc32	NA	green
Ttc7	NA	green
Ttc7b	NA	green
Ttyh3	NA	green
Txlng	NA	green
Tyro3	NA	green
Ube2j1	NA	green
Unc5a	NA	green
Usp35	NA	green
Vstm2l	NA	green
Vtn	NA	green
Vwf	NA	green
Wdr13	NA	green
Wdr83	NA	green
Whrn	NA	green
Wiz	NA	green
Wnk2	NA	green
Xrcc1	NA	green
Zbtb42	NA	green
Zdhhc22	NA	green
Zdhhc3	NA	green
Zdhhc8	NA	green
Zfp365	NA	green
Zfp512b	NA	green
Zfp612	NA	green
Zfp697	NA	green
Zfp703	NA	green
Zfp710	NA	green
Zfp853	NA	green
Zfp954	NA	green
Zfr2	NA	green
Zfyve28	NA	green
