nodeName	altName	nodeAttr[nodesPresent, ]
Slc12a4	NA	brown
Slc1a3	NA	brown
Slc22a5	NA	brown
Slc25a23	NA	brown
Slc25a25	NA	brown
Slc25a42	NA	brown
Slc27a1	NA	brown
Slc39a13	NA	brown
Slc49a4	NA	brown
Slc6a11	NA	brown
Slc7a10	NA	brown
Slc9a3r1	NA	brown
Slco1c1	NA	brown
Smarcc2	NA	brown
Smarcd3	NA	brown
Smim19	NA	brown
Snf8	NA	brown
Snph	NA	brown
Snx21	NA	brown
Socs2	NA	brown
Socs3	NA	brown
Sox12	NA	brown
Speg	NA	brown
Spire1	NA	brown
Spns2	NA	brown
Spry1	NA	brown
Sptbn4	NA	brown
Srf	NA	brown
Ssbp4	NA	brown
Sspn	NA	brown
St6galnac6	NA	brown
Stac2	NA	brown
Stard10	NA	brown
Stat5b	NA	brown
Stk10	NA	brown
Stk40	NA	brown
Stmn1	NA	brown
Stx1a	NA	brown
Stx5a	NA	brown
Svop	NA	brown
Sympk	NA	brown
Syngr3	NA	brown
Sypl2	NA	brown
Syt3	NA	brown
Szt2	NA	brown
Taf4	NA	brown
Taf6	NA	brown
Tafa5	NA	brown
Taok2	NA	brown
Tbc1d20	NA	brown
Tbc1d9b	NA	brown
Tbkbp1	NA	brown
Tcea2	NA	brown
Tcerg1l	NA	brown
Tcta	NA	brown
Tek	NA	brown
Tesk1	NA	brown
Them6	NA	brown
Tle5	NA	brown
Tmcc2	NA	brown
Tmem104	NA	brown
Tmem151b	NA	brown
Tmem160	NA	brown
Tmem198	NA	brown
Tmem229a	NA	brown
Tmem240	NA	brown
Tmem266	NA	brown
Tmem47	NA	brown
Tnk2	NA	brown
Tnnc2	NA	brown
Tnpo2	NA	brown
Tns2	NA	brown
Tomm5	NA	brown
Tpcn1	NA	brown
Tpra1	NA	brown
Traf3	NA	brown
Trappc1	NA	brown
Tril	NA	brown
Trim27	NA	brown
Trim54	NA	brown
Trim8	NA	brown
Trip10	NA	brown
Trmt1	NA	brown
Trmt61a	NA	brown
Trnp1	NA	brown
Trpm4	NA	brown
Tsc2	NA	brown
Tsr3	NA	brown
Ttc13	NA	brown
Ttc9b	NA	brown
Ttyh1	NA	brown
Tusc2	NA	brown
Tut1	NA	brown
Txnrd2	NA	brown
Tyk2	NA	brown
Ubl4a	NA	brown
Ubqln4	NA	brown
Unc13c	NA	brown
Uqcr11	NA	brown
Usp21	NA	brown
Utrn	NA	brown
Vegfb	NA	brown
Vps9d1	NA	brown
Vsir	NA	brown
Washc1	NA	brown
Wbp1l	NA	brown
Wdr38	NA	brown
Wdr74	NA	brown
Wsb2	NA	brown
Wtip	NA	brown
Wwc1	NA	brown
Yars	NA	brown
Zadh2	NA	brown
Zdhhc18	NA	brown
Zfp128	NA	brown
Zfp13	NA	brown
Zfp335	NA	brown
Zfp362	NA	brown
Zfp385a	NA	brown
Zfp423	NA	brown
Zfp516	NA	brown
Zfp523	NA	brown
Zfp574	NA	brown
Zmiz2	NA	brown
Zmynd19	NA	brown
Znrf1	NA	brown
